exposures,theta,conversions
"[0, 0, 0]","[0.5447018165656656, 0.663950115763133, 0.8475230263892369]","[0, 0, 0]"
"[0, 0, 1]","[0.9135734096448694, 0.9153959580593027, 0.6253084531306025]","[0, 0, 0]"
"[0, 1, 1]","[0.9796800907728219, 0.08470276871008231, 0.8218000860793299]","[0, 0, 0]"
"[1, 1, 1]","[0.5471811989678197, 0.4088593538894878, 0.4039946030705631]","[0, 0, 0]"
"[2, 1, 1]","[0.328334218367547, 0.23756365477584587, 0.13525476775374246]","[1, 0, 0]"
"[3, 1, 1]","[0.17909695741623932, 0.581620944173555, 0.20646442496538678]","[1, 0, 0]"
"[3, 2, 1]","[0.2054399230256512, 0.4100668036112635, 0.26612711464956407]","[1, 0, 0]"
"[3, 3, 1]","[0.4100201700846132, 0.2197701297562715, 0.0904021309178788]","[1, 0, 0]"
"[4, 3, 1]","[0.3917880695208281, 0.046136566975248566, 0.05835492603343311]","[1, 0, 0]"
"[5, 3, 1]","[0.5795077549888541, 0.0878635095887437, 0.1475341620820748]","[1, 0, 0]"
"[6, 3, 1]","[0.053975443187715084, 0.11287600361322804, 0.5827686333322226]","[1, 0, 0]"
"[6, 3, 2]","[0.26817958323005553, 0.011735238915400015, 0.3638301014168032]","[1, 0, 0]"
"[6, 3, 3]","[0.2162552674719751, 0.17637147342066262, 0.20352591722797642]","[1, 0, 0]"
"[7, 3, 3]","[0.2722440181371031, 0.06125711628814729, 0.0014037880786824768]","[1, 0, 0]"
"[8, 3, 3]","[0.02596852851205407, 0.04279510768286857, 0.20191931471337868]","[1, 0, 0]"
"[8, 3, 4]","[0.20826772118381698, 0.15672746845703092, 0.22171972014038271]","[1, 0, 0]"
"[8, 3, 5]","[0.28372191734914926, 0.2893585190335728, 0.2730516430498493]","[1, 0, 0]"
"[8, 4, 5]","[0.1517754601695671, 0.2964554978866767, 0.01539504416211211]","[1, 0, 0]"
"[8, 5, 5]","[0.22218018339492482, 0.2230105281343362, 0.004648300322483947]","[1, 0, 0]"
"[8, 6, 5]","[0.08895307224309566, 0.08032286574506246, 0.3859343279419172]","[1, 0, 0]"
"[8, 6, 6]","[0.09979543564646659, 0.09459915013612132, 0.17639119717110305]","[1, 0, 0]"
"[8, 6, 7]","[0.2962043531232579, 0.17633273902645724, 0.11482975330798183]","[1, 0, 1]"
"[9, 6, 7]","[0.1126943454826827, 0.04562730411805858, 0.24185122018753893]","[1, 0, 1]"
"[9, 6, 8]","[0.2827504435523033, 0.09668022565723006, 0.09924026272657077]","[1, 0, 1]"
"[10, 6, 8]","[0.2879665899508298, 0.3532209457485063, 0.18167847353090014]","[1, 0, 1]"
"[10, 7, 8]","[0.24242325360199396, 0.004203745575847682, 0.1146861649545191]","[1, 0, 1]"
"[11, 7, 8]","[0.20742264875827432, 0.16944564004176885, 0.21607450173027604]","[1, 0, 1]"
"[11, 7, 9]","[0.15532801513537797, 0.037316354130742524, 0.051512673117832634]","[1, 0, 1]"
"[12, 7, 9]","[0.1404547118366609, 0.18013717285689934, 0.13281145530660513]","[1, 0, 1]"
"[12, 8, 9]","[0.04395018496743335, 0.200136801460383, 0.03356837913977507]","[1, 0, 1]"
"[12, 9, 9]","[0.13290632145312004, 0.08243697496486285, 0.018899369013301717]","[1, 0, 1]"
"[13, 9, 9]","[0.41544381284211407, 0.2408100952392331, 0.19241444537005037]","[1, 0, 1]"
"[14, 9, 9]","[0.013340877046693301, 0.08056037316726829, 0.0936580605460863]","[1, 0, 1]"
"[14, 9, 10]","[0.13226821189819835, 0.10897482529580094, 0.17639742786215334]","[1, 0, 1]"
"[14, 9, 11]","[0.23092497020431493, 0.04869342405761572, 0.051749443554888204]","[1, 0, 1]"
"[15, 9, 11]","[0.11303594855127706, 0.08463406010851057, 0.10862447623930287]","[1, 0, 1]"
"[16, 9, 11]","[0.15003985525865196, 0.14407037128349354, 0.04267781992264537]","[1, 0, 1]"
"[17, 9, 11]","[0.09658732298463635, 0.10538395188615807, 0.07131054168101833]","[1, 0, 1]"
"[17, 10, 11]","[0.01809020766610063, 0.05558609439291083, 0.13009631790821266]","[1, 0, 1]"
"[17, 10, 12]","[0.09978396984046799, 0.1773159040327716, 0.11764467818413896]","[1, 0, 1]"
"[17, 11, 12]","[0.0337101796186543, 0.10060823214089888, 0.10144425681923494]","[1, 0, 1]"
"[17, 11, 13]","[0.07958235370235754, 0.12029909690926957, 0.3303636738156426]","[1, 0, 2]"
"[17, 11, 14]","[0.16308555509570358, 0.05990248678918702, 0.1595420983176157]","[1, 0, 2]"
"[18, 11, 14]","[0.09497205162604948, 0.03376888661562063, 0.035119804267943235]","[2, 0, 2]"
"[19, 11, 14]","[0.10726939449896533, 0.01737178388838671, 0.3264464267851477]","[2, 0, 2]"
"[19, 11, 15]","[0.2679977502682847, 0.023155357440736882, 0.1417331316652404]","[2, 0, 2]"
"[20, 11, 15]","[0.0665579429778384, 0.08070485002204804, 0.08137520419577879]","[2, 0, 2]"
"[20, 11, 16]","[0.05279829623517411, 0.12104546077807597, 0.12528973629533488]","[2, 0, 3]"
"[20, 11, 17]","[0.21730768774112505, 0.02696902758411173, 0.12748109643563174]","[2, 0, 3]"
"[21, 11, 17]","[0.06251424863829126, 0.010632195502420092, 0.38667631831958565]","[2, 0, 3]"
"[21, 11, 18]","[0.06522339496218107, 0.08656463517952785, 0.05911406596001958]","[2, 0, 3]"
"[21, 12, 18]","[0.16186227229676803, 0.05642312900741001, 0.12424010548853093]","[2, 0, 3]"
"[22, 12, 18]","[0.051837629013518925, 0.012691164044165336, 0.18109779661909073]","[2, 0, 3]"
"[22, 12, 19]","[0.055547720644577275, 0.08489339843539434, 0.16367226967378923]","[2, 0, 4]"
"[22, 12, 20]","[0.043547583924176125, 0.06737680483952707, 0.22213798538584179]","[2, 0, 4]"
"[22, 12, 21]","[0.055863540177122493, 0.015425073908691174, 0.2633593088662066]","[2, 0, 4]"
"[22, 12, 22]","[0.13180407343250675, 0.015728410396655512, 0.16204822797607746]","[2, 0, 4]"
"[22, 12, 23]","[0.07049881195624792, 0.18079124057510634, 0.12030153903560946]","[2, 0, 4]"
"[22, 13, 23]","[0.035574478282576524, 0.0907756617057205, 0.06600916975141034]","[2, 0, 4]"
"[22, 14, 23]","[0.04203264685025376, 0.0829640802183872, 0.13448920896737426]","[2, 0, 4]"
"[22, 14, 24]","[0.07365204976353865, 0.00022854449351195942, 0.25158412776732403]","[2, 0, 5]"
"[22, 14, 25]","[0.048866558503631634, 0.013753913300418636, 0.13635902669534927]","[2, 0, 6]"
"[22, 14, 26]","[0.09489399945870441, 0.11567320972145141, 0.22277491390823906]","[2, 0, 6]"
"[22, 14, 27]","[0.06395073262974017, 0.24033550287650057, 0.18073644096537567]","[2, 0, 6]"
"[22, 15, 27]","[0.062160637398599, 0.003697445988876677, 0.16734744881682653]","[2, 0, 6]"
"[22, 15, 28]","[0.07300569220994658, 0.017590152934179516, 0.31782823690480183]","[2, 0, 6]"
"[22, 15, 29]","[0.11169830286349236, 0.09612676259669492, 0.10736658816147492]","[2, 0, 6]"
"[23, 15, 29]","[0.18003503931187825, 0.038377754088715896, 0.13628869116058026]","[2, 0, 6]"
"[24, 15, 29]","[0.2548211055305195, 0.05686461362550633, 0.20028977636893944]","[2, 0, 6]"
"[25, 15, 29]","[0.11628112719747315, 0.043454495686493774, 0.14127897174513507]","[2, 0, 6]"
"[25, 15, 30]","[0.07328386243800832, 0.08199730478201289, 0.20107530809262544]","[2, 0, 6]"
"[25, 15, 31]","[0.2571729349194484, 0.09458491044443103, 0.14753003614539315]","[2, 0, 6]"
"[26, 15, 31]","[0.052101509802866826, 0.05164138886337748, 0.1825087834780374]","[2, 0, 6]"
"[26, 15, 32]","[0.04278710223133145, 0.14096607302214376, 0.12001540482620297]","[2, 0, 6]"
"[26, 16, 32]","[0.1393529667876642, 0.02190359346066732, 0.16401202718430138]","[2, 0, 6]"
"[26, 16, 33]","[0.14149149825463414, 0.05394185987657186, 0.19366986631926453]","[2, 0, 6]"
"[26, 16, 34]","[0.09257561707155619, 0.01141169602008221, 0.12234893274154546]","[2, 0, 6]"
"[26, 16, 35]","[0.13469996946591115, 0.15303911315549334, 0.2008660628325245]","[2, 0, 7]"
"[26, 16, 36]","[0.1694568083410116, 0.05918434799642795, 0.16890805797737501]","[2, 0, 7]"
"[27, 16, 36]","[0.11485520163864178, 0.021274010167157922, 0.20539168519602977]","[2, 0, 7]"
"[27, 16, 37]","[0.08197627689653617, 0.22053230064264254, 0.09512563169877028]","[2, 0, 7]"
"[27, 17, 37]","[0.017007775058167654, 0.019599062171715535, 0.18312812654104296]","[2, 0, 7]"
"[27, 17, 38]","[0.0813106270953527, 0.01898405966174892, 0.11265174485776112]","[2, 0, 7]"
"[27, 17, 39]","[0.041288093335679295, 0.027221551052009622, 0.23662558652783675]","[2, 0, 7]"
"[27, 17, 40]","[0.15297050497023656, 0.03981920847963284, 0.08432259539486806]","[2, 0, 8]"
"[28, 17, 40]","[0.08684934510776099, 0.10088093416176228, 0.06732850373547686]","[2, 0, 8]"
"[28, 18, 40]","[0.2632380504562343, 0.13493554034367186, 0.13316146428668926]","[2, 0, 8]"
"[29, 18, 40]","[0.07418714013356065, 0.06546600196844392, 0.2543458920366622]","[2, 0, 8]"
"[29, 18, 41]","[0.03841291739487319, 0.01593265613968426, 0.15285645484034446]","[2, 0, 8]"
"[29, 18, 42]","[0.05321537991625648, 0.02730422061858051, 0.09938875356547688]","[2, 0, 8]"
"[29, 18, 43]","[0.07779154838688718, 0.06331357519783601, 0.12873885484550762]","[2, 0, 8]"
"[29, 18, 44]","[0.13773903704262017, 0.03238169735810592, 0.19043483865189656]","[2, 0, 8]"
"[29, 18, 45]","[0.08381738469679657, 0.0017570990505275945, 0.10689189790792872]","[2, 0, 8]"
"[29, 18, 46]","[0.11518660898070965, 0.07948518391657719, 0.0926986153955755]","[2, 0, 8]"
"[30, 18, 46]","[0.12795041375678481, 0.18175823034370409, 0.23865042391794486]","[2, 0, 8]"
"[30, 18, 47]","[0.17176806350435095, 0.002922027985533824, 0.14306311121336304]","[2, 0, 8]"
"[31, 18, 47]","[0.05085361643187088, 0.028594964676899842, 0.034024152246853644]","[2, 0, 8]"
"[32, 18, 47]","[0.1334485503305789, 0.01974004975078772, 0.26596690105963194]","[2, 0, 8]"
"[32, 18, 48]","[0.11549145934848204, 0.0004687905076826139, 0.17492115968789085]","[2, 0, 8]"
"[32, 18, 49]","[0.09049232724426821, 0.08953299235947416, 0.1673445218181707]","[2, 0, 8]"
"[32, 18, 50]","[0.056307593630940636, 0.0033319949391290462, 0.16679330276161905]","[2, 0, 8]"
"[32, 18, 51]","[0.14617299838346043, 0.14142992180514405, 0.2294309049538474]","[2, 0, 9]"
"[32, 18, 52]","[0.045196952383839105, 0.004114185924248586, 0.18515861143075507]","[2, 0, 9]"
"[32, 18, 53]","[0.12226203167446008, 0.012781413579798841, 0.1567453934143056]","[2, 0, 9]"
"[32, 18, 54]","[0.05112139858006255, 0.0595841935145503, 0.24427782316058805]","[2, 0, 9]"
"[32, 18, 55]","[0.039683083847696275, 0.02808635464156311, 0.1780142639413251]","[2, 0, 9]"
"[32, 18, 56]","[0.11935964552224276, 0.06631073868859629, 0.12026318797987669]","[2, 0, 9]"
"[32, 18, 57]","[0.05080371289591498, 0.09156523258516547, 0.11944612170693551]","[2, 0, 9]"
"[32, 18, 58]","[0.08078901685995953, 0.028505792468717244, 0.10154397526026007]","[2, 0, 9]"
"[32, 18, 59]","[0.0310453450349561, 0.023527238824593722, 0.10748794465825484]","[2, 0, 9]"
"[32, 18, 60]","[0.03297776233007047, 0.019329250161088524, 0.1219694025501146]","[2, 0, 9]"
"[32, 18, 61]","[0.040882198940505717, 0.024382892290802302, 0.10632514059651371]","[2, 0, 9]"
"[32, 18, 62]","[0.006897935410288379, 0.03422422177965822, 0.16813068164637116]","[2, 0, 10]"
"[32, 18, 63]","[0.09351959178403807, 0.047301482404393184, 0.11867191514950151]","[2, 0, 10]"
"[32, 18, 64]","[0.10869222735744888, 0.01072088805935915, 0.22273268224983958]","[2, 0, 10]"
"[32, 18, 65]","[0.04908765528771609, 0.10494140514392492, 0.2040861175483031]","[2, 0, 10]"
"[32, 18, 66]","[0.07204368896988672, 0.058331240952293674, 0.12306390158084181]","[2, 0, 10]"
"[32, 18, 67]","[0.10301498129931391, 0.08912289640070752, 0.18066985388838505]","[2, 0, 10]"
"[32, 18, 68]","[0.020310365347038974, 0.11266131416436809, 0.2242472549362894]","[2, 0, 10]"
"[32, 18, 69]","[0.10279879236407076, 0.013602387260313008, 0.10362300720642902]","[2, 0, 10]"
"[32, 18, 70]","[0.10153482914058187, 0.09272437159222, 0.11424639046587555]","[2, 0, 10]"
